period,respondent,respondent-name,type,type-name,value,value-units
2023-12-20T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49279,megawatthours
2023-12-20T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49395,megawatthours
2023-12-20T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47686,megawatthours
2023-12-19T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45876,megawatthours
2023-12-19T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45488,megawatthours
2023-12-19T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45525,megawatthours
2023-12-19T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46114,megawatthours
2023-12-19T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46785,megawatthours
2023-12-19T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48064,megawatthours
2023-12-19T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49781,megawatthours
2023-12-19T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51128,megawatthours
2023-12-19T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52244,megawatthours
2023-12-19T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52863,megawatthours
2023-12-19T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51035,megawatthours
2023-12-19T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47385,megawatthours
2023-12-19T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44597,megawatthours
2023-12-19T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43151,megawatthours
2023-12-19T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42699,megawatthours
2023-12-19T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42739,megawatthours
2023-12-19T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43191,megawatthours
